SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,NB_PREVIOUS_APPLICATION,APPROVED_RATE_PREVIOUS
152876,Cash loans,M,N,Y,0,135000.0,550980.0,43659.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018801,12989,-324,-6989.0,-2520,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,Business Entity Type 2,,0.45550999214428,0.1547436312725944,0.1969,1.0,0.9831,0.7688,,0.2,0.1724,0.3333,0.375,,,0.1911,,,0.2006,1.0,0.9831,0.7779,,0.2014,0.1724,0.3333,0.375,,,0.1991,,,0.1988,1.0,0.9831,0.7719,,0.2,0.1724,0.3333,0.375,,,0.1945,,,reg oper account,block of flats,0.2411,Panel,No,0.0,0.0,0.0,0.0,-885.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,4.081333333333333,0.3234,0.07923881084612872,-0.024944183539918393,5.0,0.5
386077,Cash loans,F,Y,Y,0,252000.0,577147.5,29596.5,459000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.016612,20422,365243,-14356.0,-3790,11.0,1,0,0,1,0,0,,2.0,2,2,MONDAY,10,0,0,0,0,0,0,XNA,0.4100109152876089,0.3191686763424829,0.1419915427739129,0.0649,0.087,0.9583,0.4288,0.0904,0.0,0.2414,0.125,0.1667,0.0911,0.0496,0.0723,0.0154,0.0364,0.0662,0.0903,0.9583,0.4512,0.0912,0.0,0.2414,0.125,0.1667,0.0932,0.0542,0.0753,0.0156,0.0386,0.0656,0.087,0.9583,0.4364,0.091,0.0,0.2414,0.125,0.1667,0.0927,0.0504,0.0736,0.0155,0.0372,reg oper spec account,block of flats,0.1142,"Stone, brick",No,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.290267857142857,0.11744642857142858,0.05128065182643952,17.884781118401722,4.0,1.0
251197,Cash loans,M,Y,Y,0,225000.0,432990.0,34339.5,382500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.022625,19757,365243,-11803.0,-3298,2.0,1,0,0,1,1,0,,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,XNA,0.5273514555904849,0.6102697039845575,0.2881295999178507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-3439.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9244,0.15262,0.07930783620868842,18.486764184845878,3.0,1.0
334343,Cash loans,F,N,N,1,184500.0,573408.0,27715.5,495000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.006233,11767,-543,-5441.0,-3971,,1,1,1,1,1,0,Sales staff,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Self-employed,0.196198298481844,0.6166114452962421,,0.1237,0.1305,0.9876,,,0.0,0.4138,0.1667,,0.0325,,0.1375,,,0.1261,0.1354,0.9876,,,0.0,0.4138,0.1667,,0.0332,,0.1432,,,0.1249,0.1305,0.9876,,,0.0,0.4138,0.1667,,0.0331,,0.1399,,,,block of flats,0.1081,Panel,No,0.0,0.0,0.0,0.0,-1755.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3.1079024390243903,0.15021951219512195,0.04833469362129583,-0.046146001529701705,5.0,1.0
378055,Cash loans,F,N,N,0,225000.0,495351.0,35356.5,459000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,18603,-620,-6320.0,-2157,,1,1,0,1,0,0,Sales staff,1.0,2,2,THURSDAY,10,0,0,0,0,0,0,Self-employed,,0.6444169456524449,0.6413682574954046,0.0412,0.0148,0.9727,0.626,0.0034,0.0,0.069,0.1667,0.2083,0.0344,0.0336,0.0313,0.0,0.0,0.042,0.0,0.9722,0.6341,0.003,0.0,0.069,0.1667,0.2083,0.0084,0.0367,0.0325,0.0,0.0,0.0416,0.0148,0.9727,0.631,0.0034,0.0,0.069,0.1667,0.2083,0.035,0.0342,0.0319,0.0,0.0,reg oper account,block of flats,0.0245,Block,No,0.0,0.0,0.0,0.0,-982.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,2.20156,0.15714,0.07137666018641327,-0.03332795785625974,8.0,1.0
448224,Cash loans,M,Y,Y,0,135000.0,450000.0,24543.0,450000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.0145199999999999,9476,-916,-4147.0,-2145,19.0,1,1,0,1,0,0,Sales staff,1.0,2,2,FRIDAY,13,0,0,0,0,0,0,Trade: type 3,0.0695463894484924,0.6119535050288513,0.2225807646753351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-805.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,3.3333333333333335,0.1818,0.05454,-0.0966652596032081,2.0,1.0
412764,Cash loans,F,N,Y,0,126000.0,360000.0,17446.5,360000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.0145199999999999,14779,-5374,-1305.0,-4159,,1,1,0,1,0,0,Accountants,1.0,2,2,FRIDAY,8,0,0,0,0,0,0,Government,0.4069161349276376,0.3293355389739838,0.6023863442690867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-3470.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.1384642857142857,0.0484625,-0.3636240611678733,,
102445,Cash loans,M,Y,N,0,81000.0,161595.0,17095.5,139500.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.002134,10265,-1284,-1435.0,-2890,12.0,1,1,0,1,0,0,Drivers,2.0,3,3,FRIDAY,8,0,0,0,0,0,0,Security Ministries,,0.4326407768638117,0.2866524828090694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-873.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,1.995,0.21105555555555555,0.10579225842383737,-0.1250852411105699,3.0,1.0
209393,Cash loans,F,N,N,0,157500.0,248760.0,24601.5,225000.0,Unaccompanied,Pensioner,Higher education,Separated,House / apartment,0.022625,22949,365243,-1129.0,-3470,,1,0,0,1,0,0,,1.0,2,2,SATURDAY,20,0,0,0,0,0,0,XNA,,0.4946827945771458,0.746300213050371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-2051.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,1.5794285714285714,0.1562,0.09889652677279305,15.91542115124842,3.0,1.0
417995,Cash loans,F,N,Y,0,67500.0,135000.0,13963.5,135000.0,,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885,24084,365243,-10715.0,-4836,,1,0,0,1,1,0,,2.0,2,2,MONDAY,10,0,0,0,0,0,0,XNA,0.4221852631358161,0.7105023064381767,0.7503751495159068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2438.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.20686666666666667,0.10343333333333334,15.165379505065603,6.0,1.0
